Searched Job Title,Extracted Job Title,Employer,Rating,Location,Salary,Job Link,Job Age
Data Scientist,Data Engineer,Sanofi EU,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-engineer-sanofi-eu-JV_IC2547194_KO0,13_KE14,23.htm?jl=1009680723383",13 días
Data Scientist,Data Specialist,Banco Sabadell,3.8,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-specialist-banco-sabadell-JV_IC2547194_KO0,15_KE16,30.htm?jl=1009675632464",17 días
Data Scientist,"Data Scientist, Spain - BCG X",Boston Consulting Group,4.2,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/data-scientist-spain-bcg-x-boston-consulting-group-JV_IC2664239_KO0,26_KE27,50.htm?jl=1009450427667",+ 30 d
Data Scientist,MLOps Engineer,Sanofi EU,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/mlops-engineer-sanofi-eu-JV_IC2547194_KO0,14_KE15,24.htm?jl=1009680723358",13 días
Data Scientist,Solution Analyst (SmartBanking AI / CO2 FI) - X Delivery,Boston Consulting Group,4.2,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/solution-analyst-smartbanking-ai-co2-fi-x-delivery-boston-consulting-group-JV_IC2664239_KO0,50_KE51,74.htm?jl=1009628620254",+ 30 d
Data Scientist,Senior Data Scientist,TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/senior-data-scientist-tomtom-JV_IC2664239_KO0,21_KE22,28.htm?jl=1009451069046",+ 30 d
Data Scientist,Software Engineer III (ADAS),TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/software-engineer-iii-adas-tomtom-JV_IC2664239_KO0,26_KE27,33.htm?jl=1009683942091",9 días
Data Scientist,Title not available,Employer not specified,Rating not available,Location not available,Salary not specified,No link available,Job age not available
Data Scientist,Senior Engineering Manager (Applied Science),TomTom,4.0,Madrid,Salary not specified,"https://www.glassdoor.es/job-listing/senior-engineering-manager-applied-science-tomtom-JV_IC2664239_KO0,42_KE43,49.htm?jl=1009207575876",+ 30 d
Data Scientist,plaça de Data Scientist Junior CIDO,"UPCnet, SL",3.3,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/pla%C3%A7a-de-data-scientist-junior-cido-upcnet-sl-JV_IC2547194_KO0,35_KE36,45.htm?jl=1009678103695",15 días
Data Engineer,Data Engineer,Sanofi EU,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/data-engineer-sanofi-eu-JV_IC2547194_KO0,13_KE14,23.htm?jl=1009680723383",13 días
Data Engineer,iOS Developer,Solera,2.8,España,Salary not specified,"https://www.glassdoor.es/job-listing/ios-developer-solera-JV_KO0,13_KE14,20.htm?jl=1009498376751",+ 30 d
Data Engineer,MLOps Engineer,Sanofi EU,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/mlops-engineer-sanofi-eu-JV_IC2547194_KO0,14_KE15,24.htm?jl=1009680723358",13 días
Data Engineer,"AI Engineer, Spain - BCG X",Boston Consulting Group,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/ai-engineer-spain-bcg-x-boston-consulting-group-JV_IC2547194_KO0,23_KE24,47.htm?jl=1009308989840",+ 30 d
Data Engineer,Digital SAP M&S Analytics Lead,Sanofi EU,4.2,Barcelona,Salary not specified,"https://www.glassdoor.es/job-listing/digital-sap-ms-analytics-lead-sanofi-eu-JV_IC2547194_KO0,29_KE30,39.htm?jl=1009680723410",13 días
